Financial Year,Bag Number,Status Description,Blood Group,RH,Blood Classification,Stock Creation Date,Stock Issue Date,Expiry Date
2018-2019,737PR,Issued,AB,POSITIVE,PACKED RED CELLS,19-04-2018,20-04-2018,29-05-2018
2018-2019,737FP,Issued,AB,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,01-05-2018,18-04-2019
2018-2019,738FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,01-05-2018,18-04-2019
2018-2019,738PR,Issued,O,POSITIVE,PACKED RED CELLS,19-04-2018,25-04-2018,29-05-2018
2018-2019,739PR,Issued,B,NEGATIVE,PACKED RED CELLS,19-04-2018,25-04-2018,29-05-2018
2018-2019,739FP,Issued,B,NEGATIVE,FRESH FROZEN PLASMA,19-04-2018,01-05-2018,18-04-2019
2018-2019,740PR,Issued,B,POSITIVE,PACKED RED CELLS,19-04-2018,27-04-2018,29-05-2018
2018-2019,740FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,02-05-2018,02-05-2018,02-05-2019
2018-2019,741,Issued,B,POSITIVE,WHOLE BLOOD,18-04-2018,08-05-2018,22-05-2018
2018-2019,742FP,Issued,A,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,13-05-2018,18-04-2019
2018-2019,742PR,Issued,A,POSITIVE,PACKED RED CELLS,19-04-2018,26-04-2018,29-05-2018
2018-2019,743FP,Issued,AB,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,03-05-2018,18-04-2019
2018-2019,743PR,Issued,AB,POSITIVE,PACKED RED CELLS,19-04-2018,20-04-2018,29-05-2018
2018-2019,744PR,Issued,O,POSITIVE,PACKED RED CELLS,19-04-2018,28-04-2018,29-05-2018
2018-2019,744FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,01-05-2018,18-04-2019
2018-2019,745FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,28-04-2018,18-04-2019
2018-2019,745PR,Issued,B,POSITIVE,PACKED RED CELLS,19-04-2018,27-04-2018,29-05-2018
2018-2019,746FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,28-04-2018,18-04-2019
2018-2019,746PR,Issued,B,POSITIVE,PACKED RED CELLS,19-04-2018,11-05-2018,29-05-2018
2018-2019,747PR,Issued,O,POSITIVE,PACKED RED CELLS,19-04-2018,28-04-2018,29-05-2018
2018-2019,747FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,01-05-2018,18-04-2019
2018-2019,748PR,Issued,B,POSITIVE,PACKED RED CELLS,19-04-2018,05-05-2018,29-05-2018
2018-2019,748FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,28-04-2018,18-04-2019
2018-2019,749FP,Issued,A,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,10-07-2018,18-04-2019
2018-2019,749PR,Issued,A,POSITIVE,PACKED RED CELLS,19-04-2018,25-04-2018,29-05-2018
2018-2019,750,Issued,A,POSITIVE,WHOLE BLOOD,18-04-2018,02-05-2018,22-05-2018
2018-2019,751FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,01-05-2018,19-04-2019
2018-2019,751PR,Issued,B,POSITIVE,PACKED RED CELLS,19-04-2018,23-04-2018,30-05-2018
2018-2019,752FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,16-05-2018,19-04-2019
2018-2019,752PR,Issued,O,POSITIVE,PACKED RED CELLS,19-04-2018,28-04-2018,30-05-2018
2018-2019,753PR,Issued,B,POSITIVE,PACKED RED CELLS,19-04-2018,23-04-2018,30-05-2018
2018-2019,753FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,02-05-2018,02-05-2018,02-05-2019
2018-2019,754FP,Issued,A,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,13-05-2018,19-04-2019
2018-2019,754PR,Issued,A,POSITIVE,PACKED RED CELLS,19-04-2018,24-04-2018,30-05-2018
2018-2019,755PR,Issued,AB,POSITIVE,PACKED RED CELLS,19-04-2018,19-04-2018,30-05-2018
2018-2019,755FP,Issued,AB,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,03-05-2018,19-04-2019
2018-2019,756PR,Issued,AB,POSITIVE,PACKED RED CELLS,19-04-2018,19-04-2018,30-05-2018
2018-2019,756FP,Issued,AB,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,14-07-2018,19-04-2019
2018-2019,757PR,Issued,B,POSITIVE,PACKED RED CELLS,19-04-2018,24-04-2018,30-05-2018
2018-2019,757FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,12-07-2018,19-04-2019
2018-2019,758FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,12-07-2018,19-04-2019
2018-2019,759FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,12-07-2018,19-04-2019
2018-2019,759PR,Issued,O,POSITIVE,PACKED RED CELLS,19-04-2018,28-04-2018,30-05-2018
2018-2019,760PR,Issued,O,POSITIVE,PACKED RED CELLS,19-04-2018,28-04-2018,30-05-2018
2018-2019,760FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,01-05-2018,19-04-2019
2018-2019,761FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,24-04-2018,19-04-2019
2018-2019,761PR,Issued,O,POSITIVE,PACKED RED CELLS,19-04-2018,28-04-2018,30-05-2018
2018-2019,762PR,Issued,B,POSITIVE,PACKED RED CELLS,19-04-2018,24-04-2018,30-05-2018
2018-2019,762FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,01-05-2018,19-04-2019
2018-2019,763FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,12-07-2018,19-04-2019
2018-2019,763PR,Issued,O,POSITIVE,PACKED RED CELLS,19-04-2018,08-05-2018,30-05-2018
2018-2019,764FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,01-05-2018,19-04-2019
2018-2019,764PR,Issued,O,POSITIVE,PACKED RED CELLS,19-04-2018,09-05-2018,30-05-2018
2018-2019,765FP,Issued,A,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,04-05-2018,19-04-2019
2018-2019,765PR,Issued,A,POSITIVE,PACKED RED CELLS,19-04-2018,21-04-2018,30-05-2018
2018-2019,766FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,16-05-2018,19-04-2019
2018-2019,766PR,Issued,O,POSITIVE,PACKED RED CELLS,19-04-2018,03-05-2018,30-05-2018
2018-2019,767FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,30-04-2018,19-04-2019
2018-2019,767PR,Issued,B,POSITIVE,PACKED RED CELLS,19-04-2018,24-04-2018,30-05-2018
2018-2019,768FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,15-05-2018,19-04-2019
2018-2019,768PR,Issued,O,POSITIVE,PACKED RED CELLS,19-04-2018,04-05-2018,30-05-2018
2018-2019,769FP,Issued,AB,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,03-05-2018,19-04-2019
2018-2019,769PR,Issued,AB,POSITIVE,PACKED RED CELLS,19-04-2018,19-04-2018,30-05-2018
2018-2019,770PR,Issued,B,POSITIVE,PACKED RED CELLS,19-04-2018,23-04-2018,30-05-2018
2018-2019,770FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,02-05-2018,19-04-2019
2018-2019,771FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,02-05-2018,19-04-2019
2018-2019,771PR,Issued,B,POSITIVE,PACKED RED CELLS,19-04-2018,23-04-2018,30-05-2018
2018-2019,772PR,Issued,O,POSITIVE,PACKED RED CELLS,19-04-2018,03-05-2018,30-05-2018
2018-2019,772FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,02-05-2018,19-04-2019
2018-2019,773FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,24-04-2018,19-04-2019
2018-2019,773PR,Issued,O,POSITIVE,PACKED RED CELLS,19-04-2018,05-05-2018,30-05-2018
2018-2019,773PT,Issued,O,POSITIVE,PLATELETS,19-04-2018,24-04-2018,25-04-2018
2018-2019,774PT,Issued,O,POSITIVE,PLATELETS,19-04-2018,24-04-2018,25-04-2018
2018-2019,774FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,24-04-2018,19-04-2019
2018-2019,774PR,Issued,O,POSITIVE,PACKED RED CELLS,19-04-2018,07-05-2018,30-05-2018
2018-2019,775FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,12-07-2018,19-04-2019
2018-2019,775PR,Issued,O,POSITIVE,PACKED RED CELLS,19-04-2018,24-04-2018,30-05-2018
2018-2019,776FP,Issued,A,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,24-05-2018,19-04-2019
2018-2019,776PR,Issued,A,POSITIVE,PACKED RED CELLS,19-04-2018,24-04-2018,30-05-2018
2018-2019,776PT,Issued,A,POSITIVE,PLATELETS,19-04-2018,23-04-2018,25-04-2018
2018-2019,777FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,16-05-2018,19-04-2019
2018-2019,777PR,Issued,O,POSITIVE,PACKED RED CELLS,19-04-2018,24-04-2018,30-05-2018
2018-2019,777PT,Issued,O,POSITIVE,PLATELETS,19-04-2018,22-04-2018,25-04-2018
2018-2019,778FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,01-05-2018,19-04-2019
2018-2019,778PR,Issued,O,POSITIVE,PACKED RED CELLS,19-04-2018,24-04-2018,30-05-2018
2018-2019,778PT,Issued,O,POSITIVE,PLATELETS,19-04-2018,22-04-2018,25-04-2018
2018-2019,779PR,Issued,A,POSITIVE,PACKED RED CELLS,19-04-2018,24-04-2018,30-05-2018
2018-2019,779PT,Issued,A,POSITIVE,PLATELETS,19-04-2018,23-04-2018,25-04-2018
2018-2019,779FP,Issued,A,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,02-05-2018,19-04-2019
2018-2019,780PR,Issued,O,POSITIVE,PACKED RED CELLS,19-04-2018,24-04-2018,30-05-2018
2018-2019,780FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,16-05-2018,19-04-2019
2018-2019,781FP,Issued,A,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,04-05-2018,19-04-2019
2018-2019,781PR,Issued,A,POSITIVE,PACKED RED CELLS,19-04-2018,26-04-2018,30-05-2018
2018-2019,782FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,06-05-2018,06-05-2018,06-05-2019
2018-2019,782PR,Issued,O,POSITIVE,PACKED RED CELLS,19-04-2018,05-05-2018,30-05-2018
2018-2019,783PR,Issued,B,POSITIVE,PACKED RED CELLS,19-04-2018,24-04-2018,30-05-2018
2018-2019,783FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,08-05-2018,19-04-2019
2018-2019,783PT,Issued,B,POSITIVE,PLATELETS,19-04-2018,24-04-2018,25-04-2018
2018-2019,784PT,Issued,A,POSITIVE,PLATELETS,19-04-2018,23-04-2018,25-04-2018
2018-2019,784FP,Issued,A,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,03-05-2018,19-04-2019
2018-2019,784PR,Issued,A,POSITIVE,PACKED RED CELLS,19-04-2018,24-04-2018,30-05-2018
2018-2019,785PR,Issued,A,POSITIVE,PACKED RED CELLS,19-04-2018,24-04-2018,30-05-2018
2018-2019,785FP,Issued,A,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,03-05-2018,19-04-2019
2018-2019,785PT,Issued,A,POSITIVE,PLATELETS,19-04-2018,23-04-2018,25-04-2018
2018-2019,786FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,02-05-2018,19-04-2019
2018-2019,786PR,Issued,B,POSITIVE,PACKED RED CELLS,19-04-2018,24-04-2018,30-05-2018
2018-2019,786PT,Issued,B,POSITIVE,PLATELETS,20-04-2018,20-04-2018,26-04-2018
2018-2019,787FP,Issued,B,NEGATIVE,FRESH FROZEN PLASMA,02-05-2018,02-05-2018,02-05-2019
2018-2019,787PR,Issued,B,NEGATIVE,PACKED RED CELLS,19-04-2018,22-04-2018,30-05-2018
2018-2019,787PT,Issued,B,NEGATIVE,PLATELETS,19-04-2018,20-04-2018,25-04-2018
2018-2019,788FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,01-05-2018,19-04-2019
2018-2019,788PR,Issued,O,POSITIVE,PACKED RED CELLS,19-04-2018,04-05-2018,30-05-2018
2018-2019,788PT,Issued,O,POSITIVE,PLATELETS,19-04-2018,22-04-2018,25-04-2018
2018-2019,789PR,Issued,O,POSITIVE,PACKED RED CELLS,19-04-2018,03-05-2018,30-05-2018
2018-2019,789FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,06-05-2018,06-05-2018,06-05-2019
2018-2019,790PR,Issued,A,POSITIVE,PACKED RED CELLS,19-04-2018,04-05-2018,30-05-2018
2018-2019,790FP,Issued,A,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,13-05-2018,19-04-2019
2018-2019,791PR,Issued,A,POSITIVE,PACKED RED CELLS,19-04-2018,21-04-2018,30-05-2018
2018-2019,791PT,Issued,A,POSITIVE,PLATELETS,19-04-2018,24-04-2018,25-04-2018
2018-2019,791FP,Issued,A,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,04-05-2018,19-04-2019
2018-2019,792PR,Issued,B,POSITIVE,PACKED RED CELLS,19-04-2018,21-04-2018,30-05-2018
2018-2019,792FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,30-04-2018,19-04-2019
2018-2019,792PT,Issued,B,POSITIVE,PLATELETS,20-04-2018,20-04-2018,26-04-2018
2018-2019,793FP,Issued,AB,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,22-05-2018,19-04-2019
2018-2019,793PT,Expired,AB,POSITIVE,PLATELETS,19-04-2018,NA,25-04-2018
2018-2019,793PR,Issued,AB,POSITIVE,PACKED RED CELLS,19-04-2018,19-04-2018,30-05-2018
2018-2019,794FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,02-05-2018,19-04-2019
2018-2019,794PR,Issued,O,POSITIVE,PACKED RED CELLS,19-04-2018,04-05-2018,30-05-2018
2018-2019,794PT,Issued,O,POSITIVE,PLATELETS,19-04-2018,22-04-2018,25-04-2018
2018-2019,795FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,15-05-2018,19-04-2019
2018-2019,795PR,Issued,O,POSITIVE,PACKED RED CELLS,19-04-2018,04-05-2018,30-05-2018
2018-2019,795PT,Issued,O,POSITIVE,PLATELETS,19-04-2018,23-04-2018,25-04-2018
2018-2019,796FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,06-05-2018,06-05-2018,06-05-2019
2018-2019,796PR,Issued,O,POSITIVE,PACKED RED CELLS,19-04-2018,04-05-2018,30-05-2018
2018-2019,796PT,Issued,O,POSITIVE,PLATELETS,19-04-2018,24-04-2018,25-04-2018
2018-2019,797PT,Issued,B,POSITIVE,PLATELETS,20-04-2018,20-04-2018,26-04-2018
2018-2019,797PR,Issued,B,POSITIVE,PACKED RED CELLS,19-04-2018,21-04-2018,30-05-2018
2018-2019,797FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,02-05-2018,19-04-2019
2018-2019,798PR,Issued,B,POSITIVE,PACKED RED CELLS,19-04-2018,21-04-2018,30-05-2018
2018-2019,798PT,Issued,B,POSITIVE,PLATELETS,19-04-2018,24-04-2018,25-04-2018
2018-2019,798FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,02-05-2018,19-04-2019
2018-2019,799FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,15-05-2018,19-04-2019
2018-2019,799PR,Issued,O,POSITIVE,PACKED RED CELLS,19-04-2018,24-04-2018,30-05-2018
2018-2019,799PT,Issued,O,POSITIVE,PLATELETS,19-04-2018,24-04-2018,25-04-2018
2018-2019,800PR,Issued,O,POSITIVE,PACKED RED CELLS,19-04-2018,26-04-2018,30-05-2018
2018-2019,800FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,24-05-2018,19-04-2019
2018-2019,801PR,Issued,O,POSITIVE,PACKED RED CELLS,19-04-2018,24-04-2018,30-05-2018
2018-2019,801FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,16-05-2018,19-04-2019
2018-2019,801PT,Issued,O,POSITIVE,PLATELETS,19-04-2018,23-04-2018,25-04-2018
2018-2019,802FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,27-04-2018,19-04-2019
2018-2019,802PR,Issued,O,POSITIVE,PACKED RED CELLS,19-04-2018,24-04-2018,30-05-2018
2018-2019,802PT,Issued,O,POSITIVE,PLATELETS,19-04-2018,23-04-2018,25-04-2018
2018-2019,803PR,Issued,B,POSITIVE,PACKED RED CELLS,19-04-2018,21-04-2018,30-05-2018
2018-2019,803PT,Issued,B,POSITIVE,PLATELETS,19-04-2018,19-04-2018,25-04-2018
2018-2019,803FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,10-05-2018,19-04-2019
2018-2019,804FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,08-05-2018,19-04-2019
2018-2019,804PR,Issued,B,POSITIVE,PACKED RED CELLS,19-04-2018,28-04-2018,30-05-2018
2018-2019,804PT,Issued,B,POSITIVE,PLATELETS,19-04-2018,24-04-2018,25-04-2018
2018-2019,805PR,Issued,O,POSITIVE,PACKED RED CELLS,19-04-2018,21-04-2018,30-05-2018
2018-2019,805PT,Issued,O,POSITIVE,PLATELETS,19-04-2018,23-04-2018,25-04-2018
2018-2019,805FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,28-04-2018,19-04-2019
2018-2019,806FP,Issued,A,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,26-05-2018,19-04-2019
2018-2019,806PT,Issued,A,POSITIVE,PLATELETS,19-04-2018,24-04-2018,25-04-2018
2018-2019,806PR,Issued,A,POSITIVE,PACKED RED CELLS,19-04-2018,21-04-2018,30-05-2018
2018-2019,807PR,Issued,A,POSITIVE,PACKED RED CELLS,19-04-2018,21-04-2018,30-05-2018
2018-2019,807PT,Issued,A,POSITIVE,PLATELETS,19-04-2018,24-04-2018,25-04-2018
2018-2019,807FP,Issued,A,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,10-07-2018,19-04-2019
2018-2019,808PT,Issued,O,POSITIVE,PLATELETS,19-04-2018,21-04-2018,25-04-2018
2018-2019,808FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,12-07-2018,19-04-2019
2018-2019,808PR,Issued,O,POSITIVE,PACKED RED CELLS,19-04-2018,24-04-2018,30-05-2018
2018-2019,809FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,08-05-2018,19-04-2019
2018-2019,809PR,Issued,B,POSITIVE,PACKED RED CELLS,19-04-2018,26-04-2018,30-05-2018
2018-2019,810PT,Expired,AB,POSITIVE,PLATELETS,19-04-2018,NA,25-04-2018
2018-2019,810PR,Issued,AB,POSITIVE,PACKED RED CELLS,19-04-2018,23-04-2018,30-05-2018
2018-2019,810FP,Issued,AB,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,01-05-2018,19-04-2019
2018-2019,811FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,12-07-2018,19-04-2019
2018-2019,811PR,Issued,O,POSITIVE,PACKED RED CELLS,19-04-2018,26-04-2018,30-05-2018
2018-2019,812PT,Issued,AB,POSITIVE,PLATELETS,19-04-2018,24-04-2018,25-04-2018
2018-2019,812FP,Issued,AB,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,22-05-2018,19-04-2019
2018-2019,812PR,Issued,AB,POSITIVE,PACKED RED CELLS,19-04-2018,23-04-2018,30-05-2018
2018-2019,813FP,Issued,A,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,26-05-2018,19-04-2019
2018-2019,813PR,Issued,A,POSITIVE,PACKED RED CELLS,19-04-2018,21-04-2018,30-05-2018
2018-2019,813PT,Issued,A,POSITIVE,PLATELETS,19-04-2018,24-04-2018,25-04-2018
2018-2019,814FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,12-07-2018,19-04-2019
2018-2019,814PR,Issued,O,POSITIVE,PACKED RED CELLS,19-04-2018,21-04-2018,30-05-2018
2018-2019,814PT,Issued,O,POSITIVE,PLATELETS,19-04-2018,21-04-2018,25-04-2018
2018-2019,815FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,16-05-2018,19-04-2019
2018-2019,815PR,Issued,O,POSITIVE,PACKED RED CELLS,19-04-2018,26-04-2018,30-05-2018
2018-2019,816PR,Issued,B,POSITIVE,PACKED RED CELLS,19-04-2018,21-04-2018,30-05-2018
2018-2019,816PT,Issued,B,POSITIVE,PLATELETS,19-04-2018,19-04-2018,25-04-2018
2018-2019,816FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,30-04-2018,19-04-2019
2018-2019,817FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,05-05-2018,19-04-2019
2018-2019,817PR,Issued,B,POSITIVE,PACKED RED CELLS,19-04-2018,23-04-2018,30-05-2018
2018-2019,817PT,Issued,B,POSITIVE,PLATELETS,19-04-2018,19-04-2018,25-04-2018
2018-2019,818FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,24-05-2018,19-04-2019
2018-2019,818PR,Issued,O,POSITIVE,PACKED RED CELLS,19-04-2018,26-04-2018,30-05-2018
2018-2019,819PR,Issued,O,POSITIVE,PACKED RED CELLS,19-04-2018,21-04-2018,30-05-2018
2018-2019,819PT,Issued,O,POSITIVE,PLATELETS,19-04-2018,21-04-2018,25-04-2018
2018-2019,819FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,12-07-2018,19-04-2019
2018-2019,820PR,Issued,B,POSITIVE,PACKED RED CELLS,19-04-2018,02-05-2018,30-05-2018
2018-2019,820PT,Issued,B,POSITIVE,PLATELETS,19-04-2018,19-04-2018,25-04-2018
2018-2019,820FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,05-05-2018,19-04-2019
2018-2019,821PR,Issued,AB,POSITIVE,PACKED RED CELLS,19-04-2018,27-04-2018,30-05-2018
2018-2019,821FP,Issued,AB,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,14-07-2018,19-04-2019
2018-2019,822FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,16-05-2018,19-04-2019
2018-2019,822PR,Issued,O,POSITIVE,PACKED RED CELLS,19-04-2018,21-04-2018,30-05-2018
2018-2019,822PT,Issued,O,POSITIVE,PLATELETS,19-04-2018,21-04-2018,25-04-2018
2018-2019,823FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,09-05-2018,19-04-2019
2018-2019,823PR,Issued,B,POSITIVE,PACKED RED CELLS,19-04-2018,02-05-2018,30-05-2018
2018-2019,823PT,Issued,B,POSITIVE,PLATELETS,19-04-2018,24-04-2018,25-04-2018
2018-2019,824FP,Issued,A,POSITIVE,FRESH FROZEN PLASMA,19-04-2018,26-05-2018,19-04-2019
2018-2019,824PR,Issued,A,POSITIVE,PACKED RED CELLS,19-04-2018,21-04-2018,30-05-2018
2018-2019,824PT,Expired,A,POSITIVE,PLATELETS,19-04-2018,NA,25-04-2018
2018-2019,825FP,Issued,A,POSITIVE,FRESH FROZEN PLASMA,20-04-2018,10-07-2018,20-04-2019
2018-2019,825PR,Issued,A,POSITIVE,PACKED RED CELLS,20-04-2018,23-04-2018,31-05-2018
2018-2019,825PT,Expired,A,POSITIVE,PLATELETS,20-04-2018,NA,26-04-2018
2018-2019,826PR,Issued,O,POSITIVE,PACKED RED CELLS,20-04-2018,26-04-2018,31-05-2018
2018-2019,826PT,Issued,O,POSITIVE,PLATELETS,20-04-2018,23-04-2018,26-04-2018
2018-2019,826FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,20-04-2018,16-05-2018,20-04-2019
2018-2019,827PR,Issued,A,POSITIVE,PACKED RED CELLS,20-04-2018,25-04-2018,31-05-2018
2018-2019,827PT,Issued,A,POSITIVE,PLATELETS,20-04-2018,24-04-2018,26-04-2018
2018-2019,827FP,Issued,A,POSITIVE,FRESH FROZEN PLASMA,20-04-2018,10-07-2018,20-04-2019
2018-2019,828FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,20-04-2018,08-05-2018,20-04-2019
2018-2019,828PR,Issued,B,POSITIVE,PACKED RED CELLS,20-04-2018,02-05-2018,31-05-2018
2018-2019,828PT,Issued,B,POSITIVE,PLATELETS,20-04-2018,24-04-2018,26-04-2018
2018-2019,829FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,20-04-2018,28-04-2018,20-04-2019
2018-2019,829PR,Issued,O,POSITIVE,PACKED RED CELLS,20-04-2018,26-04-2018,31-05-2018
2018-2019,830PR,Issued,A,POSITIVE,PACKED RED CELLS,20-04-2018,25-04-2018,31-05-2018
2018-2019,830FP,Issued,A,POSITIVE,FRESH FROZEN PLASMA,20-04-2018,10-07-2018,20-04-2019
2018-2019,830PT,Expired,A,POSITIVE,PLATELETS,20-04-2018,NA,26-04-2018
2018-2019,831PT,Issued,O,POSITIVE,PLATELETS,20-04-2018,24-04-2018,26-04-2018
2018-2019,831FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,20-04-2018,22-04-2018,20-04-2019
2018-2019,831PR,Issued,O,POSITIVE,PACKED RED CELLS,20-04-2018,24-04-2018,31-05-2018
2018-2019,832FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,20-04-2018,09-05-2018,20-04-2019
2018-2019,832PR,Issued,B,POSITIVE,PACKED RED CELLS,20-04-2018,25-04-2018,31-05-2018
2018-2019,833PT,Issued,O,POSITIVE,PLATELETS,20-04-2018,23-04-2018,26-04-2018
2018-2019,833FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,20-04-2018,12-07-2018,20-04-2019
2018-2019,833PR,Issued,O,POSITIVE,PACKED RED CELLS,20-04-2018,24-04-2018,31-05-2018
2018-2019,834,Issued,A,POSITIVE,WHOLE BLOOD,21-04-2018,03-05-2018,25-05-2018
2018-2019,835FP,Issued,A,POSITIVE,FRESH FROZEN PLASMA,20-04-2018,24-05-2018,20-04-2019
2018-2019,835PR,Issued,A,POSITIVE,PACKED RED CELLS,20-04-2018,25-04-2018,31-05-2018
2018-2019,835PT,Issued,A,POSITIVE,PLATELETS,20-04-2018,24-04-2018,26-04-2018
2018-2019,836,Issued,B,POSITIVE,WHOLE BLOOD,20-04-2018,08-05-2018,24-05-2018
2018-2019,837FP,Issued,O,POSITIVE,FRESH FROZEN PLASMA,20-04-2018,28-04-2018,20-04-2019
2018-2019,837PR,Issued,O,POSITIVE,PACKED RED CELLS,20-04-2018,24-04-2018,31-05-2018
2018-2019,837PT,Issued,O,POSITIVE,PLATELETS,20-04-2018,23-04-2018,26-04-2018
2018-2019,838,Issued,A,POSITIVE,WHOLE BLOOD,21-04-2018,26-04-2018,25-05-2018
2018-2019,839FP,Issued,B,POSITIVE,FRESH FROZEN PLASMA,20-04-2018,12-07-2018,20-04-2019
2018-2019,839PR,Issued,B,POSITIVE,PACKED RED CELLS,20-04-2018,19-05-2018,31-05-2018
2018-2019,839PT,Issued,B,POSITIVE,PLATELETS,20-04-2018,24-04-2018,26-04-2018
